"","year","statecode","measure","value"
"1214",2007,"OH","Homeownership Rate",71.4
"1215",2008,"OH","Homeownership Rate",70.8
"1216",2009,"OH","Homeownership Rate",69.7
"1217",2010,"OH","Homeownership Rate",69.7
"1218",2011,"OH","Homeownership Rate",68.9
"1219",2012,"OH","Homeownership Rate",67.9
"1220",2013,"OH","Homeownership Rate",67.9
"1221",2014,"OH","Homeownership Rate",67.3
"1222",2015,"OH","Homeownership Rate",66.4
"1223",2016,"OH","Homeownership Rate",66.1
"1224",2017,"OH","Homeownership Rate",66
"1225",1984,"OK","Homeownership Rate",71
"1226",1985,"OK","Homeownership Rate",70.5
"1227",1986,"OK","Homeownership Rate",69.7
"1228",1987,"OK","Homeownership Rate",70.9
"1229",1988,"OK","Homeownership Rate",72.1
"1230",1989,"OK","Homeownership Rate",71.4
"1231",1990,"OK","Homeownership Rate",70.3
"1232",1991,"OK","Homeownership Rate",69.2
"1233",1992,"OK","Homeownership Rate",68.9
"1234",1993,"OK","Homeownership Rate",70.3
"1235",1994,"OK","Homeownership Rate",68.5
"1236",1995,"OK","Homeownership Rate",69.8
"1237",1996,"OK","Homeownership Rate",68.4
"1238",1997,"OK","Homeownership Rate",68.5
"1239",1998,"OK","Homeownership Rate",69.7
"1240",1999,"OK","Homeownership Rate",71.5
"1241",2000,"OK","Homeownership Rate",72.7
"1242",2001,"OK","Homeownership Rate",71.5
"1243",2002,"OK","Homeownership Rate",69.6
"1244",2003,"OK","Homeownership Rate",69.1
"1245",2004,"OK","Homeownership Rate",71.1
"1246",2005,"OK","Homeownership Rate",72.9
"1247",2006,"OK","Homeownership Rate",71.6
"1248",2007,"OK","Homeownership Rate",70.3
"1249",2008,"OK","Homeownership Rate",70.4
"1250",2009,"OK","Homeownership Rate",69.6
"1251",2010,"OK","Homeownership Rate",69.2
"1252",2011,"OK","Homeownership Rate",69.4
"1253",2012,"OK","Homeownership Rate",68.8
"1254",2013,"OK","Homeownership Rate",69.9
"1255",2014,"OK","Homeownership Rate",69.3
"1256",2015,"OK","Homeownership Rate",67.4
"1257",2016,"OK","Homeownership Rate",66.8
"1258",2017,"OK","Homeownership Rate",68.9
"1259",1984,"OR","Homeownership Rate",61.9
"1260",1985,"OR","Homeownership Rate",61.5
"1261",1986,"OR","Homeownership Rate",63.9
"1262",1987,"OR","Homeownership Rate",64.6
"1263",1988,"OR","Homeownership Rate",64
"1264",1989,"OR","Homeownership Rate",63.4
"1265",1990,"OR","Homeownership Rate",64.4
"1266",1991,"OR","Homeownership Rate",65.2
"1267",1992,"OR","Homeownership Rate",64.3
"1268",1993,"OR","Homeownership Rate",63.8
"1269",1994,"OR","Homeownership Rate",63.9
"1270",1995,"OR","Homeownership Rate",63.2
"1271",1996,"OR","Homeownership Rate",63.1
"1272",1997,"OR","Homeownership Rate",61
"1273",1998,"OR","Homeownership Rate",63.4
"1274",1999,"OR","Homeownership Rate",64.3
"1275",2000,"OR","Homeownership Rate",65.3
"1276",2001,"OR","Homeownership Rate",65.8
"1277",2002,"OR","Homeownership Rate",66.2
"1278",2003,"OR","Homeownership Rate",68
"1279",2004,"OR","Homeownership Rate",69
"1280",2005,"OR","Homeownership Rate",68.2
"1281",2006,"OR","Homeownership Rate",68.1
"1282",2007,"OR","Homeownership Rate",65.7
"1283",2008,"OR","Homeownership Rate",66.2
"1284",2009,"OR","Homeownership Rate",68.2
"1285",2010,"OR","Homeownership Rate",66.3
"1286",2011,"OR","Homeownership Rate",66.4
"1287",2012,"OR","Homeownership Rate",66.1
"1288",2013,"OR","Homeownership Rate",64.2
"1289",2014,"OR","Homeownership Rate",62.8
"1290",2015,"OR","Homeownership Rate",61.1
"1291",2016,"OR","Homeownership Rate",62.6
"1292",2017,"OR","Homeownership Rate",61.8
"1293",1984,"PA","Homeownership Rate",71.1
"1294",1985,"PA","Homeownership Rate",71.6
"1295",1986,"PA","Homeownership Rate",72.3
"1296",1987,"PA","Homeownership Rate",71.8
"1297",1988,"PA","Homeownership Rate",72.1
"1298",1989,"PA","Homeownership Rate",72.8
"1299",1990,"PA","Homeownership Rate",73.8
"1300",1991,"PA","Homeownership Rate",74
"1301",1992,"PA","Homeownership Rate",73.1
"1302",1993,"PA","Homeownership Rate",72
"1303",1994,"PA","Homeownership Rate",71.8
"1304",1995,"PA","Homeownership Rate",71.5
"1305",1996,"PA","Homeownership Rate",71.7
"1306",1997,"PA","Homeownership Rate",73.3
"1307",1998,"PA","Homeownership Rate",73.9
"1308",1999,"PA","Homeownership Rate",75.2
"1309",2000,"PA","Homeownership Rate",74.7
"1310",2001,"PA","Homeownership Rate",74.3
"1311",2002,"PA","Homeownership Rate",74
"1312",2003,"PA","Homeownership Rate",73.7
"1313",2004,"PA","Homeownership Rate",74.9
"1314",2005,"PA","Homeownership Rate",73.3
"1315",2006,"PA","Homeownership Rate",73.2
"1316",2007,"PA","Homeownership Rate",72.9
"1317",2008,"PA","Homeownership Rate",72.6
"1318",2009,"PA","Homeownership Rate",72.2
"1319",2010,"PA","Homeownership Rate",72.2
"1320",2011,"PA","Homeownership Rate",71.1
"1321",2012,"PA","Homeownership Rate",71
"1322",2013,"PA","Homeownership Rate",71.5
"1323",2014,"PA","Homeownership Rate",69.7
"1324",2015,"PA","Homeownership Rate",69.6
"1325",2016,"PA","Homeownership Rate",68.5
"1326",2017,"PA","Homeownership Rate",68.6
"1327",1984,"RI","Homeownership Rate",60.9
"1328",1985,"RI","Homeownership Rate",61.4
"1329",1986,"RI","Homeownership Rate",62.2
"1330",1987,"RI","Homeownership Rate",60.4
"1331",1988,"RI","Homeownership Rate",62
"1332",1989,"RI","Homeownership Rate",61.2
"1333",1990,"RI","Homeownership Rate",58.5
"1334",1991,"RI","Homeownership Rate",58.2
"1335",1992,"RI","Homeownership Rate",56.8
"1336",1993,"RI","Homeownership Rate",57.6
"1337",1994,"RI","Homeownership Rate",56.5
"1338",1995,"RI","Homeownership Rate",57.9
"1339",1996,"RI","Homeownership Rate",56.6
"1340",1997,"RI","Homeownership Rate",58.7
"1341",1998,"RI","Homeownership Rate",59.8
"1342",1999,"RI","Homeownership Rate",60.6
"1343",2000,"RI","Homeownership Rate",61.5
"1344",2001,"RI","Homeownership Rate",60.1
"1345",2002,"RI","Homeownership Rate",59.4
"1346",2003,"RI","Homeownership Rate",59.9
"1347",2004,"RI","Homeownership Rate",61.5
"1348",2005,"RI","Homeownership Rate",63.1
"1349",2006,"RI","Homeownership Rate",64.6
"1350",2007,"RI","Homeownership Rate",64.9
"1351",2008,"RI","Homeownership Rate",64.5
"1352",2009,"RI","Homeownership Rate",62.9
"1353",2010,"RI","Homeownership Rate",62.8
"1354",2011,"RI","Homeownership Rate",63.4
"1355",2012,"RI","Homeownership Rate",62.1
"1356",2013,"RI","Homeownership Rate",61.5
"1357",2014,"RI","Homeownership Rate",61.8
"1358",2015,"RI","Homeownership Rate",58.9
"1359",2016,"RI","Homeownership Rate",56.3
"1360",2017,"RI","Homeownership Rate",56.6
"1361",1984,"SC","Homeownership Rate",69.1
"1362",1985,"SC","Homeownership Rate",72
"1363",1986,"SC","Homeownership Rate",70.3
"1364",1987,"SC","Homeownership Rate",72.8
"1365",1988,"SC","Homeownership Rate",73.8
"1366",1989,"SC","Homeownership Rate",71
"1367",1990,"SC","Homeownership Rate",71.4
"1368",1991,"SC","Homeownership Rate",73.1
"1369",1992,"SC","Homeownership Rate",71
"1370",1993,"SC","Homeownership Rate",71.1
"1371",1994,"SC","Homeownership Rate",72
"1372",1995,"SC","Homeownership Rate",71.3
"1373",1996,"SC","Homeownership Rate",72.9
"1374",1997,"SC","Homeownership Rate",74.1
"1375",1998,"SC","Homeownership Rate",76.6
"1376",1999,"SC","Homeownership Rate",77.1
"1377",2000,"SC","Homeownership Rate",76.5
"1378",2001,"SC","Homeownership Rate",76.1
"1379",2002,"SC","Homeownership Rate",77.5
"1380",2003,"SC","Homeownership Rate",75
"1381",2004,"SC","Homeownership Rate",76.2
"1382",2005,"SC","Homeownership Rate",73.9
"1383",2006,"SC","Homeownership Rate",74.2
"1384",2007,"SC","Homeownership Rate",74.1
"1385",2008,"SC","Homeownership Rate",73.9
"1386",2009,"SC","Homeownership Rate",74.4
"1387",2010,"SC","Homeownership Rate",74.8
"1388",2011,"SC","Homeownership Rate",74.2
"1389",2012,"SC","Homeownership Rate",71.5
"1390",2013,"SC","Homeownership Rate",72.4
"1391",2014,"SC","Homeownership Rate",72.9
"1392",2015,"SC","Homeownership Rate",67.1
"1393",2016,"SC","Homeownership Rate",68.9
"1394",2017,"SC","Homeownership Rate",72.8
"1395",1984,"SD","Homeownership Rate",69.6
"1396",1985,"SD","Homeownership Rate",67.6
"1397",1986,"SD","Homeownership Rate",65.9
"1398",1987,"SD","Homeownership Rate",66.8
"1399",1988,"SD","Homeownership Rate",66.4
"1400",1989,"SD","Homeownership Rate",65.8
"1401",1990,"SD","Homeownership Rate",66.2
"1402",1991,"SD","Homeownership Rate",66.1
"1403",1992,"SD","Homeownership Rate",66.5
"1404",1993,"SD","Homeownership Rate",65.6
"1405",1994,"SD","Homeownership Rate",66.4
"1406",1995,"SD","Homeownership Rate",67.5
"1407",1996,"SD","Homeownership Rate",67.8
"1408",1997,"SD","Homeownership Rate",67.6
"1409",1998,"SD","Homeownership Rate",67.3
"1410",1999,"SD","Homeownership Rate",70.7
"1411",2000,"SD","Homeownership Rate",71.2
"1412",2001,"SD","Homeownership Rate",71.5
"1413",2002,"SD","Homeownership Rate",71.5
"1414",2003,"SD","Homeownership Rate",70.9
"1415",2004,"SD","Homeownership Rate",68.5
"1416",2005,"SD","Homeownership Rate",68.4
"1417",2006,"SD","Homeownership Rate",70.6
"1418",2007,"SD","Homeownership Rate",70.4
"1419",2008,"SD","Homeownership Rate",70.4
"1420",2009,"SD","Homeownership Rate",69.6
"1421",2010,"SD","Homeownership Rate",70.6
"1422",2011,"SD","Homeownership Rate",69.3
"1423",2012,"SD","Homeownership Rate",69.2
"1424",2013,"SD","Homeownership Rate",67.8
"1425",2014,"SD","Homeownership Rate",69.2
"1426",2015,"SD","Homeownership Rate",70.1
"1427",2016,"SD","Homeownership Rate",69.4
"1428",2017,"SD","Homeownership Rate",67.8
"1429",1984,"TN","Homeownership Rate",67.6
"1430",1985,"TN","Homeownership Rate",67.6
"1431",1986,"TN","Homeownership Rate",67.4
"1432",1987,"TN","Homeownership Rate",67.2
"1433",1988,"TN","Homeownership Rate",66.9
"1434",1989,"TN","Homeownership Rate",67.3
"1435",1990,"TN","Homeownership Rate",68.3
"1436",1991,"TN","Homeownership Rate",68
"1437",1992,"TN","Homeownership Rate",67.4
"1438",1993,"TN","Homeownership Rate",64.1
"1439",1994,"TN","Homeownership Rate",65.2
"1440",1995,"TN","Homeownership Rate",67
"1441",1996,"TN","Homeownership Rate",68.8
"1442",1997,"TN","Homeownership Rate",70.2
"1443",1998,"TN","Homeownership Rate",71.3
"1444",1999,"TN","Homeownership Rate",71.9
"1445",2000,"TN","Homeownership Rate",70.9
"1446",2001,"TN","Homeownership Rate",69.7
"1447",2002,"TN","Homeownership Rate",70.3
"1448",2003,"TN","Homeownership Rate",70.8
"1449",2004,"TN","Homeownership Rate",71.6
"1450",2005,"TN","Homeownership Rate",72.4
"1451",2006,"TN","Homeownership Rate",71.3
"1452",2007,"TN","Homeownership Rate",70.2
"1453",2008,"TN","Homeownership Rate",71.7
"1454",2009,"TN","Homeownership Rate",71.1
"1455",2010,"TN","Homeownership Rate",71
"1456",2011,"TN","Homeownership Rate",69.3
"1457",2012,"TN","Homeownership Rate",67.9
"1458",2013,"TN","Homeownership Rate",66.8
"1459",2014,"TN","Homeownership Rate",66.7
"1460",2015,"TN","Homeownership Rate",66.5
"1461",2016,"TN","Homeownership Rate",66.4
"1462",2017,"TN","Homeownership Rate",67.2
"1463",1984,"TX","Homeownership Rate",62.5
"1464",1985,"TX","Homeownership Rate",60.5
"1465",1986,"TX","Homeownership Rate",61
"1466",1987,"TX","Homeownership Rate",61.1
"1467",1988,"TX","Homeownership Rate",59.9
"1468",1989,"TX","Homeownership Rate",61
"1469",1990,"TX","Homeownership Rate",59.7
"1470",1991,"TX","Homeownership Rate",59
"1471",1992,"TX","Homeownership Rate",58.3
"1472",1993,"TX","Homeownership Rate",58.7
"1473",1994,"TX","Homeownership Rate",59.7
"1474",1995,"TX","Homeownership Rate",61.4
"1475",1996,"TX","Homeownership Rate",61.8
"1476",1997,"TX","Homeownership Rate",61.5
"1477",1998,"TX","Homeownership Rate",62.5
"1478",1999,"TX","Homeownership Rate",62.9
"1479",2000,"TX","Homeownership Rate",63.8
"1480",2001,"TX","Homeownership Rate",63.9
"1481",2002,"TX","Homeownership Rate",63.4
"1482",2003,"TX","Homeownership Rate",64.5
"1483",2004,"TX","Homeownership Rate",65.5
"1484",2005,"TX","Homeownership Rate",65.9
"1485",2006,"TX","Homeownership Rate",66
"1486",2007,"TX","Homeownership Rate",66
"1487",2008,"TX","Homeownership Rate",65.5
"1488",2009,"TX","Homeownership Rate",65.4
"1489",2010,"TX","Homeownership Rate",65.3
"1490",2011,"TX","Homeownership Rate",64.3
"1491",2012,"TX","Homeownership Rate",64.3
"1492",2013,"TX","Homeownership Rate",63.3
"1493",2014,"TX","Homeownership Rate",62.2
"1494",2015,"TX","Homeownership Rate",61.9
"1495",2016,"TX","Homeownership Rate",61.5
"1496",2017,"TX","Homeownership Rate",61.7
"1497",1984,"UT","Homeownership Rate",69.9
"1498",1985,"UT","Homeownership Rate",71.5
"1499",1986,"UT","Homeownership Rate",68
"1500",1987,"UT","Homeownership Rate",69
"1501",1988,"UT","Homeownership Rate",70.2
"1502",1989,"UT","Homeownership Rate",70.4
"1503",1990,"UT","Homeownership Rate",70.1
"1504",1991,"UT","Homeownership Rate",70.7
"1505",1992,"UT","Homeownership Rate",70
"1506",1993,"UT","Homeownership Rate",68.9
"1507",1994,"UT","Homeownership Rate",69.3
"1508",1995,"UT","Homeownership Rate",71.5
"1509",1996,"UT","Homeownership Rate",72.7
"1510",1997,"UT","Homeownership Rate",72.5
"1511",1998,"UT","Homeownership Rate",73.7
"1512",1999,"UT","Homeownership Rate",74.7
"1513",2000,"UT","Homeownership Rate",72.7
"1514",2001,"UT","Homeownership Rate",72.4
"1515",2002,"UT","Homeownership Rate",72.8
"1516",2003,"UT","Homeownership Rate",73.4
"1517",2004,"UT","Homeownership Rate",74.9
"1518",2005,"UT","Homeownership Rate",73.9
"1519",2006,"UT","Homeownership Rate",73.5
"1520",2007,"UT","Homeownership Rate",74.9
"1521",2008,"UT","Homeownership Rate",76.2
"1522",2009,"UT","Homeownership Rate",74.1
"1523",2010,"UT","Homeownership Rate",72.5
"1524",2011,"UT","Homeownership Rate",71.4
"1525",2012,"UT","Homeownership Rate",71.1
"1526",2013,"UT","Homeownership Rate",70.9
"1527",2014,"UT","Homeownership Rate",70.9
"1528",2015,"UT","Homeownership Rate",69.9
"1529",2016,"UT","Homeownership Rate",71.3
"1530",2017,"UT","Homeownership Rate",71
"1531",1984,"VT","Homeownership Rate",66.9
"1532",1985,"VT","Homeownership Rate",69.5
"1533",1986,"VT","Homeownership Rate",69.8
"1534",1987,"VT","Homeownership Rate",70.5
"1535",1988,"VT","Homeownership Rate",68.7
"1536",1989,"VT","Homeownership Rate",69.7
"1537",1990,"VT","Homeownership Rate",72.6
"1538",1991,"VT","Homeownership Rate",70.8
"1539",1992,"VT","Homeownership Rate",70.8
"1540",1993,"VT","Homeownership Rate",68.5
"1541",1994,"VT","Homeownership Rate",69.4
"1542",1995,"VT","Homeownership Rate",70.4
"1543",1996,"VT","Homeownership Rate",70.3
"1544",1997,"VT","Homeownership Rate",69.1
"1545",1998,"VT","Homeownership Rate",69.1
"1546",1999,"VT","Homeownership Rate",69.1
"1547",2000,"VT","Homeownership Rate",68.7
"1548",2001,"VT","Homeownership Rate",69.8
"1549",2002,"VT","Homeownership Rate",70.3
"1550",2003,"VT","Homeownership Rate",71.4
"1551",2004,"VT","Homeownership Rate",72
"1552",2005,"VT","Homeownership Rate",74.2
"1553",2006,"VT","Homeownership Rate",74
"1554",2007,"VT","Homeownership Rate",73.7
"1555",2008,"VT","Homeownership Rate",72.8
"1556",2009,"VT","Homeownership Rate",74.3
"1557",2010,"VT","Homeownership Rate",73.6
"1558",2011,"VT","Homeownership Rate",74.6
"1559",2012,"VT","Homeownership Rate",73.4
"1560",2013,"VT","Homeownership Rate",73
"1561",2014,"VT","Homeownership Rate",73.5
"1562",2015,"VT","Homeownership Rate",71.8
"1563",2016,"VT","Homeownership Rate",71.3
"1564",2017,"VT","Homeownership Rate",71.1
"1565",1984,"VA","Homeownership Rate",68.3
"1566",1985,"VA","Homeownership Rate",68.5
"1567",1986,"VA","Homeownership Rate",68.2
"1568",1987,"VA","Homeownership Rate",69
"1569",1988,"VA","Homeownership Rate",69.8
"1570",1989,"VA","Homeownership Rate",70.2
"1571",1990,"VA","Homeownership Rate",69.8
"1572",1991,"VA","Homeownership Rate",68.9
"1573",1992,"VA","Homeownership Rate",67.8
"1574",1993,"VA","Homeownership Rate",68.5
"1575",1994,"VA","Homeownership Rate",69.3
"1576",1995,"VA","Homeownership Rate",68.1
"1577",1996,"VA","Homeownership Rate",68.5
"1578",1997,"VA","Homeownership Rate",68.4
"1579",1998,"VA","Homeownership Rate",69.4
"1580",1999,"VA","Homeownership Rate",71.2
"1581",2000,"VA","Homeownership Rate",73.9
"1582",2001,"VA","Homeownership Rate",75.1
"1583",2002,"VA","Homeownership Rate",74.4
"1584",2003,"VA","Homeownership Rate",75
"1585",2004,"VA","Homeownership Rate",73.4
"1586",2005,"VA","Homeownership Rate",71.2
"1587",2006,"VA","Homeownership Rate",71.1
"1588",2007,"VA","Homeownership Rate",71.5
"1589",2008,"VA","Homeownership Rate",70.6
"1590",2009,"VA","Homeownership Rate",69.7
"1591",2010,"VA","Homeownership Rate",68.7
"1592",2011,"VA","Homeownership Rate",67.9
"1593",2012,"VA","Homeownership Rate",67.8
"1594",2013,"VA","Homeownership Rate",68.1
"1595",2014,"VA","Homeownership Rate",68.7
"1596",2015,"VA","Homeownership Rate",67.1
"1597",2016,"VA","Homeownership Rate",66.3
"1598",2017,"VA","Homeownership Rate",67.5
"1599",1984,"WA","Homeownership Rate",65.7
"1600",1985,"WA","Homeownership Rate",66.8
"1601",1986,"WA","Homeownership Rate",65.1
"1602",1987,"WA","Homeownership Rate",64.4
"1603",1988,"WA","Homeownership Rate",64.2
"1604",1989,"WA","Homeownership Rate",64.2
"1605",1990,"WA","Homeownership Rate",61.8
"1606",1991,"WA","Homeownership Rate",61.8
"1607",1992,"WA","Homeownership Rate",62.5
"1608",1993,"WA","Homeownership Rate",63.1
"1609",1994,"WA","Homeownership Rate",62.4
"1610",1995,"WA","Homeownership Rate",61.6
"1611",1996,"WA","Homeownership Rate",63.1
"1612",1997,"WA","Homeownership Rate",62.9
"1613",1998,"WA","Homeownership Rate",64.9
"1614",1999,"WA","Homeownership Rate",64.8
"1615",2000,"WA","Homeownership Rate",63.6
"1616",2001,"WA","Homeownership Rate",66.4
"1617",2002,"WA","Homeownership Rate",66.9
"1618",2003,"WA","Homeownership Rate",65.9
"1619",2004,"WA","Homeownership Rate",66
"1620",2005,"WA","Homeownership Rate",67.6
"1621",2006,"WA","Homeownership Rate",66.7
"1622",2007,"WA","Homeownership Rate",66.8
"1623",2008,"WA","Homeownership Rate",66.2
"1624",2009,"WA","Homeownership Rate",65.5
"1625",2010,"WA","Homeownership Rate",64.4
"1626",2011,"WA","Homeownership Rate",64.2
"1627",2012,"WA","Homeownership Rate",63.5
"1628",2013,"WA","Homeownership Rate",62.7
"1629",2014,"WA","Homeownership Rate",63.6
"1630",2015,"WA","Homeownership Rate",62.6
"1631",2016,"WA","Homeownership Rate",61.6
"1632",2017,"WA","Homeownership Rate",63.6
"1633",1984,"WV","Homeownership Rate",72
"1634",1985,"WV","Homeownership Rate",75.9
"1635",1986,"WV","Homeownership Rate",76.4
"1636",1987,"WV","Homeownership Rate",72.5
"1637",1988,"WV","Homeownership Rate",73.2
"1638",1989,"WV","Homeownership Rate",74.8
"1639",1990,"WV","Homeownership Rate",72
"1640",1991,"WV","Homeownership Rate",72.4
"1641",1992,"WV","Homeownership Rate",73.3
"1642",1993,"WV","Homeownership Rate",73.3
"1643",1994,"WV","Homeownership Rate",73.7
"1644",1995,"WV","Homeownership Rate",73.1
"1645",1996,"WV","Homeownership Rate",74.3
"1646",1997,"WV","Homeownership Rate",74.6
"1647",1998,"WV","Homeownership Rate",74.8
"1648",1999,"WV","Homeownership Rate",74.8
"1649",2000,"WV","Homeownership Rate",75.9
"1650",2001,"WV","Homeownership Rate",76.4
"1651",2002,"WV","Homeownership Rate",77.2
"1652",2003,"WV","Homeownership Rate",78.1
"1653",2004,"WV","Homeownership Rate",80.3
"1654",2005,"WV","Homeownership Rate",81.3
"1655",2006,"WV","Homeownership Rate",78.4
"1656",2007,"WV","Homeownership Rate",77.6
"1657",2008,"WV","Homeownership Rate",77.8
"1658",2009,"WV","Homeownership Rate",78.7
"1659",2010,"WV","Homeownership Rate",79
"1660",2011,"WV","Homeownership Rate",78.7
"1661",2012,"WV","Homeownership Rate",75.8
"1662",2013,"WV","Homeownership Rate",76.8
"1663",2014,"WV","Homeownership Rate",75.6
"1664",2015,"WV","Homeownership Rate",74.9
"1665",2016,"WV","Homeownership Rate",74.8
"1666",2017,"WV","Homeownership Rate",75.1
"1667",1984,"WI","Homeownership Rate",65.2
"1668",1985,"WI","Homeownership Rate",63.8
"1669",1986,"WI","Homeownership Rate",66.5
"1670",1987,"WI","Homeownership Rate",68.2
"1671",1988,"WI","Homeownership Rate",68
"1672",1989,"WI","Homeownership Rate",69.3
"1673",1990,"WI","Homeownership Rate",68.3
"1674",1991,"WI","Homeownership Rate",68.9
"1675",1992,"WI","Homeownership Rate",69.4
"1676",1993,"WI","Homeownership Rate",65.7
"1677",1994,"WI","Homeownership Rate",64.2
"1678",1995,"WI","Homeownership Rate",67.5
"1679",1996,"WI","Homeownership Rate",68.2
"1680",1997,"WI","Homeownership Rate",68.3
"1681",1998,"WI","Homeownership Rate",70.1
"1682",1999,"WI","Homeownership Rate",70.9
"1683",2000,"WI","Homeownership Rate",71.8
"1684",2001,"WI","Homeownership Rate",72.3
"1685",2002,"WI","Homeownership Rate",72.2
"1686",2003,"WI","Homeownership Rate",72.8
"1687",2004,"WI","Homeownership Rate",73.3
"1688",2005,"WI","Homeownership Rate",71.1
"1689",2006,"WI","Homeownership Rate",70.2
"1690",2007,"WI","Homeownership Rate",70.5
"1691",2008,"WI","Homeownership Rate",70.4
"1692",2009,"WI","Homeownership Rate",70.4
"1693",2010,"WI","Homeownership Rate",71
"1694",2011,"WI","Homeownership Rate",68.5
"1695",2012,"WI","Homeownership Rate",67.5
"1696",2013,"WI","Homeownership Rate",68.5
"1697",2014,"WI","Homeownership Rate",67.8
"1698",2015,"WI","Homeownership Rate",66.6
"1699",2016,"WI","Homeownership Rate",67.7
"1700",2017,"WI","Homeownership Rate",68
"1701",1984,"WY","Homeownership Rate",68.8
"1702",1985,"WY","Homeownership Rate",73.2
"1703",1986,"WY","Homeownership Rate",72
"1704",1987,"WY","Homeownership Rate",68.9
"1705",1988,"WY","Homeownership Rate",67.8
"1706",1989,"WY","Homeownership Rate",69.6
"1707",1990,"WY","Homeownership Rate",68.9
"1708",1991,"WY","Homeownership Rate",68.7
"1709",1992,"WY","Homeownership Rate",67.9
"1710",1993,"WY","Homeownership Rate",67.1
"1711",1994,"WY","Homeownership Rate",65.8
"1712",1995,"WY","Homeownership Rate",69
"1713",1996,"WY","Homeownership Rate",68
"1714",1997,"WY","Homeownership Rate",67.6
"1715",1998,"WY","Homeownership Rate",70
"1716",1999,"WY","Homeownership Rate",69.8
"1717",2000,"WY","Homeownership Rate",71
"1718",2001,"WY","Homeownership Rate",73.5
"1719",2002,"WY","Homeownership Rate",73
"1720",2003,"WY","Homeownership Rate",72.9
"1721",2004,"WY","Homeownership Rate",72.8
"1722",2005,"WY","Homeownership Rate",72.8
"1723",2006,"WY","Homeownership Rate",73.7
"1724",2007,"WY","Homeownership Rate",73.2
"1725",2008,"WY","Homeownership Rate",73.3
"1726",2009,"WY","Homeownership Rate",73.8
"1727",2010,"WY","Homeownership Rate",73.4
"1728",2011,"WY","Homeownership Rate",71.1
"1729",2012,"WY","Homeownership Rate",70.3
"1730",2013,"WY","Homeownership Rate",70.5
"1731",2014,"WY","Homeownership Rate",70.8
"1732",2015,"WY","Homeownership Rate",69.9
"1733",2016,"WY","Homeownership Rate",70.2
"1734",2017,"WY","Homeownership Rate",70.4
